Macro-categoria,Sottocategoria,Domanda,Risposta
Servizi e Comfort,Lounge e Sale,Che cos'è il FRECCIAClub e dove si trovano le sale?,"😊 Il FRECCIAClub è un circuito di sale esclusive che Trenitalia mette a disposizione dei propri clienti fidelizzati! 🙂 Le sale si trovano nelle stazioni di Torino Porta Nuova, Torino Porta Susa, Venezia Mestre, Venezia Santa Lucia, Padova, Verona, Roma Tiburtina, Salerno e Bari. Gli orari di apertura li trovi nell'area dedicata del sito trenitalia.com."
Servizi e Comfort,Lounge e Sale,Quanto costa l'accesso singolo giornaliero al FRECCIAClub?,🙂 L'accesso singolo giornaliero al FRECCIAClub costa 20€! 😊 Devi essere titolare di una CartaFRECCIA e avere un biglietto FRECCIA valido per accedere nelle 4 ore prima della partenza.
Servizi e Comfort,Lounge e Sale,Con l'accesso singolo giornaliero posso usare biglietti Intercity per entrare al FRECCIAClub?,"😔 No, con l'accesso singolo giornaliero da 20€ ti servono solo biglietti FRECCIA! Non sono validi i biglietti Intercity, regionali, Smart Card/CLC FS o diritti di ammissione personale FS."
Servizi e Comfort,Lounge e Sale,"Ho un Carnet 10 viaggi FRECCIA, posso entrare al FRECCIAClub?","😊 Sì, puoi accedere se hai un Carnet 10 o 15 viaggi FRECCIA di prima classe/business con prenotazione! 🙂 L'accesso è consentito nelle 4 ore prima della partenza del treno prenotato. 😔 Attenzione: i Carnet Smart 10 viaggi AV non sono validi!"
Servizi e Comfort,Lounge e Sale,Come funziona l'accesso fisico al FRECCIAClub?,"🙂 È molto semplice! Le CartaFRECCIA sono dotate di microprocessore: devi avvicinare la carta al lettore posizionato all'esterno del FRECCIAClub e le porte si apriranno automaticamente. 😊 Una volta dentro, potresti dover mostrare la carta e i documenti al personale Trenitalia!"
Servizi e Comfort,Lounge e Sale,"Se compro un biglietto al FRECCIAClub, per quanto tempo posso rimanere?","🙂 Dopo l'acquisto, per rimanere nel FRECCIAClub il tuo treno deve partire entro le quattro ore successive! 😔 Se il treno parte dopo questo limite, non potrai rimanere nelle sale e non potrai usufruire dei servizi previsti."
Servizi e Comfort,Lounge e Sale,Posso portare i miei figli minorenni al FRECCIAClub anche se non sono accompagnatori ufficiali?,"😊 Certamente! Oltre agli accompagnatori previsti, è sempre consentito l'accesso ai figli minori di 18 anni, sia che siano tuoi figli o dei tuoi accompagnatori. 🙂 Per loro si applicano le stesse regole di permanenza e fruizione dei servizi del titolare."
Servizi e Comfort,Lounge e Sale,Gli accompagnatori devono avere biglietti particolari per entrare al FRECCIAClub?,"🙂 Sì, gli accompagnatori devono avere un biglietto ferroviario Trenitalia sullo stesso treno del titolare o un abbonamento valido! 😊 Per accompagnatori di CartaFRECCIA Platino e Platino Infinito sono accettati anche abbonamenti di seconda classe, 😔 ma per gli altri no."
Servizi e Comfort,Lounge e Sale,Che servizi trovo nel FRECCIAClub?,"😊 Il FRECCIAClub offre tantissimi servizi! Nella welcome area puoi ricevere informazioni e acquistare biglietti. 🙂 Hai a disposizione una sala d'attesa comoda, area working con tavoli e prese elettriche, area relax, monitor informativi, WiFi gratuito e contenuti multimediali tramite il Portale Frecciarossa!"
Servizi e Comfort,Lounge e Sale,Posso comprare cibo al FRECCIAClub e portarlo via?,"😔 No, il servizio ristorazione è disponibile ma il consumo è previsto esclusivamente all'interno della sala! Non puoi asportare prodotti al di fuori delle sale. 🙂 Inoltre non è consentito consumare cibo e bevande portate dall'esterno."
Servizi e Comfort,Lounge e Sale,Posso portare il mio cane al FRECCIAClub?,"😊 Sì, puoi portare un solo animale domestico da compagnia! 🤔 Deve rimanere all'interno di contenitori adeguati con dimensioni massime di 70x30x50 cm per ciascuna misura. 🙂 Sono ammessi anche i cani da assistenza senza queste limitazioni."
Servizi e Comfort,Lounge e Sale,Posso portare più di un animale domestico al FRECCIAClub?,"😔 No, ogni cliente può portare un solo animale domestico da compagnia! 🙂 L'animale deve essere di piccola taglia (cane piccolo, gatto, ecc.) e rimanere nel contenitore delle dimensioni previste, oppure essere un cane da assistenza."
Servizi e Comfort,Lounge e Sale,Cosa succede se mi comporto male al FRECCIAClub?,"😔 Trenitalia può inibire l'accesso o escluderti dalla permanenza nelle sale a proprio insindacabile giudizio! 🙂 Questo può succedere per comportamenti scorretti verso l'ambiente, il personale o altri clienti, per uso indebito della carta, o per mancati pagamenti dovuti."
Servizi e Comfort,Lounge e Sale,Posso essere escluso dal FRECCIACLUB se mi comporto male in sala?,"😔 Sì, comportamenti scorretti o moralmente riprovevoli verso l'ambiente, il personale o altri clienti possono portare alla disabilitazione della carta e all'esclusione dalle sale. 😌 Ti chiediamo di mantenere sempre un comportamento rispettoso per garantire un ambiente piacevole per tutti."
Servizi e Comfort,Lounge e Sale,"Se non pago delle penali dovute a Trenitalia, posso ancora accedere al FRECCIACLUB?","😕 No, la mancata corresponsione di importi dovuti a qualsiasi titolo (come penali per disdette di biglietti o prenotazioni) può comportare la disabilitazione della CARTAFRECCIA. 🙂 È importante mantenere sempre i pagamenti in regola per continuare ad accedere ai servizi."
Servizi e Comfort,Lounge e Sale,"Se uso le sale FRECCIACLUB in modo diverso da quello previsto, ci sono conseguenze?","😔 Sì, utilizzare le sale e i servizi in modo difforme da quanto stabilito nel regolamento può portare alla disabilitazione della carta. 🙂 Le sale hanno regole specifiche per garantire il comfort di tutti i clienti."
Servizi e Comfort,Lounge e Sale,Anche chi ha un biglietto Executive può essere escluso dal FRECCIACLUB?,"😊 Sì, anche i possessori di biglietto 'Executive', 'AV Salottino' e Carnet 10 o 15 viaggi di prima classe/business possono essere esclusi dalle sale se tengono comportamenti scorretti. 🙂 Le regole di comportamento valgono per tutti i clienti, indipendentemente dal tipo di accesso."
Servizi e Comfort,Lounge e Sale,Dove posso trovare il regolamento aggiornato del FRECCIACLUB?,😊 Il regolamento e i suoi aggiornamenti sono sempre disponibili all'interno delle sale FRECCIACLUB e pubblicati nell'area dedicata su www.trenitalia.com. 🙂 Ti consiglio di consultarlo periodicamente per essere sempre aggiornato!
Servizi e Comfort,Lounge e Sale,Possono cambiare le categorie di clienti autorizzati ad accedere al FRECCIACLUB?,"🙂 Sì, Trenitalia si riserva il diritto di modificare le categorie di clienti autorizzati all'accesso ai FRECCIACLUB. 😊 Se vengono aggiunte nuove categorie, a questi nuovi soggetti verrà applicato lo stesso regolamento attuale."
